"Document_ID","Node_ID","Node_Label","Sanitized_Concept","Context","Definition","Example","Learning_Objective","Skill_Level","Time_Estimate","Difficulty","Priority","Prerequisites","Semantic_Tags","Focused_Semantic_Tags","Key_Property_1","Value_1"
"Data_Preprocessing_Lecture","topic:data_preprocessing","Topic","data_preprocessing","business_intelligence","Techniques to prepare raw data for analysis, including cleaning, integration, reduction, and transformation.","Handling missing values, normalizing data, reducing dimensionality.","Understand and apply data preprocessing techniques.","Understand","60","STANDARD","5","Not Available","business_intelligence;data_analysis;data_cleaning;data_compression;data_integration;data_mining;data_normalization;data_preprocessing;data_quality;data_reduction;data_science;data_transformation;data_visualization;data_wrangling;dimensionality_reduction;exploratory_data_analysis;feature_engineering;machine_learning;outlier_detection;statistics","data_preprocessing;data_analysis;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:mean","Concept","mean","data_preprocessing","The arithmetic average of a set of values, calculated as the sum of the values divided by the number of values.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, the mean is 58.","Calculate the mean of a dataset.","Apply","15","STANDARD","4","Not Available","arithmetic_mean;average;business_intelligence;central_tendency;data_analysis;data_science;descriptive_statistics;expected_value;finance;forecasting;machine_learning;mathematics;mean;probability;quantitative_analysis;statistical_analysis;statistics;summary_statistics;trend_analysis;value_aggregation","mean;central_tendency;statistics","Numerical_Data","Mean: 58, N=12"
"Data_Preprocessing_Lecture","concept:median","Concept","median","data_preprocessing","The middle value in a set of ordered data values.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, the median is 54.","Identify the median of a dataset.","Apply","15","STANDARD","4","Not Available","business_intelligence;central_tendency;data_analysis;data_distribution;data_science;data_spread;descriptive_statistics;exploratory_data_analysis;mathematics;median;non_parametric_statistics;order_statistics;outlier_resistant;percentiles;quantitative_analysis;quartiles;robust_statistics;statistical_analysis;statistics;summary_statistics","median;central_tendency;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:mode","Concept","mode","data_preprocessing","The value that occurs most frequently in the set.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, the modes are 52 and 70.","Determine the mode of a dataset.","Apply","15","STANDARD","4","Not Available","business_intelligence;central_tendency;data_analysis;data_mining;data_patterns;data_science;data_trends;descriptive_statistics;exploratory_data_analysis;frequency_distribution;machine_learning;mathematics;mode;most_common_value;nominal_data;quantitative_analysis;statistical_analysis;statistics;summary_statistics;visualization","mode;central_tendency;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:midrange","Concept","midrange","data_preprocessing","The average of the largest and smallest values in the set.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, the midrange is 70.","Calculate the midrange of a dataset.","Apply","15","STANDARD","3","Not Available","basic_statistics;business_intelligence;central_tendency;data_analysis;data_distribution;data_science;data_spread;descriptive_statistics;exploratory_data_analysis;mathematics;midrange;outlier_sensitive;quantitative_analysis;range_based_measure;simple_average;statistical_analysis;statistics;summary_statistics;trend_analysis;visualization","midrange;central_tendency;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:range","Concept","range","data_preprocessing","The difference between the largest and smallest values.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, the range is 80.","Calculate the range of a dataset.","Apply","10","STANDARD","3","Not Available","basic_statistics;business_intelligence;data_analysis;data_dispersion;data_science;data_spread;data_variability;descriptive_statistics;exploratory_data_analysis;machine_learning;mathematics;outlier_sensitive;probability;quantitative_analysis;range;statistical_analysis;statistics;summary_statistics;trend_analysis;visualization","range;data_dispersion;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:quartiles","Concept","quartiles","data_preprocessing","Points that divide the data into four equal parts.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, Q1=48.25, Q3=66.75.","Identify quartiles in a dataset.","Apply","20","STANDARD","3","Not Available","boxplot;business_intelligence;data_analysis;data_dispersion;data_distribution;data_science;data_spread;descriptive_statistics;exploratory_data_analysis;interquartile_range;mathematics;order_statistics;outlier_detection;percentiles;quantitative_analysis;quartiles;statistical_analysis;statistics;summary_statistics;visualization","quartiles;data_dispersion;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:interquartile_range","Concept","interquartile_range","data_preprocessing","The difference between the third and first quartiles.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, IQR=18.5.","Calculate the interquartile range of a dataset.","Apply","15","STANDARD","3","concept:quartiles","boxplot;business_intelligence;data_analysis;data_dispersion;data_science;data_spread;data_variability;descriptive_statistics;exploratory_data_analysis;interquartile_range;mathematics;outlier_resistant;quantitative_analysis;robust_statistics;statistical_analysis;statistics;summary_statistics;trend_analysis;visualization;quartiles","interquartile_range;data_dispersion;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:variance","Concept","variance","data_preprocessing","A measure of how spread out the values are from the mean.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, variance is approximately 379.17.","Calculate the variance of a dataset.","Apply","20","STANDARD","4","concept:mean","business_intelligence;data_analysis;data_dispersion;data_science;data_spread;data_variability;descriptive_statistics;exploratory_data_analysis;finance;forecasting;machine_learning;mathematics;probability;quantitative_analysis;second_moment;standard_deviation;statistical_analysis;statistics;summary_statistics;variance","variance;data_dispersion;statistics","Numerical_Data","Variance: 379.17, N=12"
"Data_Preprocessing_Lecture","concept:standard_deviation","Concept","standard_deviation","data_preprocessing","The square root of the variance, indicating the spread of data.","For the salaries 30,36,47,50,52,52,56,60,63,70,70,110, standard deviation is approximately 19.47.","Calculate the standard deviation of a dataset.","Apply","15","STANDARD","4","concept:variance","business_intelligence;data_analysis;data_dispersion;data_science;data_spread;data_variability;descriptive_statistics;dispersion_measure;exploratory_data_analysis;finance;forecasting;machine_learning;mathematics;probability;quantitative_analysis;standard_deviation;statistical_analysis;statistics;summary_statistics;trend_analysis","standard_deviation;data_dispersion;statistics","Numerical_Data","Standard Deviation: 19.47, N=12"
"Data_Preprocessing_Lecture","concept:bar_chart","Concept","bar_chart","data_preprocessing","A graph that presents categorical data with rectangular bars proportional to the values they represent.","Not Available","Create and interpret bar charts.","Apply","20","STANDARD","3","Not Available","bar_chart;business_intelligence;categorical_data;data_analysis;data_science;data_visualization;descriptive_statistics;exploratory_data_analysis;frequency_distribution;graphic_display;machine_learning;mathematics;quantitative_analysis;statistical_analysis;statistics;summary_statistics;trend_analysis;visual_summary;visualization;charts","bar_chart;data_visualization;statistics","Not Available","Not Available"
"Data_Preprocessing_Lecture","concept:pie_chart","Concept","pie_chart","data_preprocessing","A circular statistical graphic divided into slices to illustrate numerical proportion.","Not Available","Create and interpret pie charts.","Apply","20","STANDARD","3","Not Available","business_intelligence;categorical_data;charts;data_analysis;data_science;data_visualization;descriptive_statistics;exploratory_data_analysis;frequency_distribution;graphic_display;machine_learning;mathematics;pie_chart;proportions;quantitative_analysis;statistical_analysis;statistics;summary_statistics;trend_analysis;visual_summary","pie_chart;data_visualization;statistics","Not Available","Not Available"
