"Document_ID","Source_Node_ID","Relationship_Type","Target_Node_ID","Weight","Dependency"
"MIS_Managing_Digital_Firm_Ch4","topic:ethical_and_social_issues_in_information_systems","IS_SUBCONCEPT_OF","concept:ethics","4","3"
"MIS_Managing_Digital_Firm_Ch4","topic:ethical_and_social_issues_in_information_systems","IS_SUBCONCEPT_OF","concept:information_rights_and_obligations","4","3"
"MIS_Managing_Digital_Firm_Ch4","topic:ethical_and_social_issues_in_information_systems","IS_SUBCONCEPT_OF","concept:property_rights_and_obligations","4","3"
"MIS_Managing_Digital_Firm_Ch4","topic:ethical_and_social_issues_in_information_systems","IS_SUBCONCEPT_OF","concept:accountability_and_control","4","3"
"MIS_Managing_Digital_Firm_Ch4","topic:ethical_and_social_issues_in_information_systems","IS_SUBCONCEPT_OF","concept:system_quality","4","3"
"MIS_Managing_Digital_Firm_Ch4","topic:ethical_and_social_issues_in_information_systems","IS_SUBCONCEPT_OF","concept:quality_of_life","4","3"
"MIS_Managing_Digital_Firm_Ch4","concept:ethics","IS_PREREQUISITE_OF","concept:information_rights_and_obligations","5","4"
"MIS_Managing_Digital_Firm_Ch4","concept:ethics","IS_PREREQUISITE_OF","concept:property_rights_and_obligations","5","4"
"MIS_Managing_Digital_Firm_Ch4","concept:ethics","IS_PREREQUISITE_OF","concept:accountability_and_control","5","4"
"MIS_Managing_Digital_Firm_Ch4","concept:ethics","IS_PREREQUISITE_OF","concept:system_quality","5","4"
"MIS_Managing_Digital_Firm_Ch4","concept:ethics","IS_PREREQUISITE_OF","concept:quality_of_life","5","4"
"MIS_Managing_Digital_Firm_Ch4","concept:information_rights_and_obligations","IS_SUBCONCEPT_OF","concept:privacy","4","3"
"MIS_Managing_Digital_Firm_Ch4","concept:property_rights_and_obligations","IS_SUBCONCEPT_OF","concept:intellectual_property","4","3"
"MIS_Managing_Digital_Firm_Ch4","concept:ethics","IS_PREREQUISITE_OF","concept:ethical_analysis","5","4"
"MIS_Managing_Digital_Firm_Ch4","concept:ethical_analysis","REQUIRES","concept:ethics","4","3"
