"Document_ID","Source_Node_ID","Relationship_Type","Target_Node_ID","Weight","Dependency"
"MSSQL-Basic-CRUD","concept:sql_select","REQUIRES","concept:filtering_and_sorting","4","4"
"MSSQL-Basic-CRUD","concept:sql_select","IS_PREREQUISITE_OF","concept:sql_insert","3","3"
"MSSQL-Basic-CRUD","concept:sql_select","IS_PREREQUISITE_OF","concept:sql_update","3","3"
"MSSQL-Basic-CRUD","concept:sql_select","IS_PREREQUISITE_OF","concept:sql_delete","3","3"
"MSSQL-Basic-CRUD","concept:views","REQUIRES","concept:sql_select","5","5"
"MSSQL-Basic-CRUD","concept:sequences","REQUIRES","concept:sql_insert","4","4"
"MSSQL-Basic-CRUD","concept:sql_select","IS_SUBCONCEPT_OF","concept:t_sql","3","3"
"MSSQL-Basic-CRUD","concept:sql_insert","IS_SUBCONCEPT_OF","concept:t_sql","3","3"
"MSSQL-Basic-CRUD","concept:sql_update","IS_SUBCONCEPT_OF","concept:t_sql","3","3"
"MSSQL-Basic-CRUD","concept:sql_delete","IS_SUBCONCEPT_OF","concept:t_sql","3","3"
