StudentID,LearningPath
stu001,"concept:mean,concept:boxplots,concept:histogram"
stu002,"concept:quartiles,concept:interquartile_range,concept:five_number_summary"
stu003,"concept:data_visualization,concept:bar_charts,concept:pie_charts"
stu004,"concept:classification,concept:decision_trees,concept:k_means"stu001,concept:other_functions
stu001,concept:other_functions
stu001,concept:transactions
stu001,concept:transactions
stu001,concept:transactions
stu001,concept:transactions
stu001,concept:transactions
stu001,"concept:transactions,concept:stored_procedures"
stu001,"concept:transactions,concept:stored_procedures"
stu001,"concept:transactions,concept:stored_procedures"
stu001,"concept:transactions,concept:stored_procedures"
stu001,"concept:transactions,concept:stored_procedures,concept:stored_procedures,concept:stored_procedures,concept:stored_procedures"
stu001,concept:grouping
stu001,concept:grouping
stu001,concept:grouping
stu001,concept:grouping
stu001,"concept:grouping,concept:aggregate_functions,concept:grouping,concept:aggregate_functions,concept:having_clause"
stu001,"topic:data_mining,topic:data_mining,topic:business_intelligence"
stu001,"topic:data_mining,topic:business_intelligence"
stu001,"topic:data_mining,topic:business_intelligence"
